country_code,country_name,years_obs,any_total,any_4000,any_4300,any_4310,any_4320
AUS,Australia,5,TRUE,TRUE,TRUE,FALSE,FALSE
AUT,Austria,5,TRUE,TRUE,TRUE,FALSE,FALSE
BEL,Belgium,5,TRUE,TRUE,TRUE,TRUE,TRUE
CAN,Canada,5,TRUE,TRUE,TRUE,TRUE,TRUE
CHE,Switzerland,5,TRUE,TRUE,TRUE,TRUE,FALSE
CHL,Chile,5,TRUE,TRUE,TRUE,FALSE,FALSE
COL,Colombia,5,TRUE,TRUE,TRUE,FALSE,FALSE
CRI,Costa Rica,5,TRUE,TRUE,TRUE,FALSE,FALSE
CZE,Czechia,5,TRUE,TRUE,TRUE,TRUE,TRUE
DEU,Germany,5,TRUE,TRUE,TRUE,TRUE,TRUE
DNK,Denmark,5,TRUE,TRUE,TRUE,FALSE,FALSE
ESP,Spain,5,TRUE,TRUE,TRUE,FALSE,FALSE
EST,Estonia,5,TRUE,TRUE,TRUE,FALSE,FALSE
FIN,Finland,5,TRUE,TRUE,TRUE,TRUE,TRUE
FRA,France,5,TRUE,TRUE,TRUE,TRUE,TRUE
GBR,United Kingdom,5,TRUE,TRUE,TRUE,TRUE,TRUE
GRC,Greece,5,TRUE,TRUE,TRUE,FALSE,FALSE
HUN,Hungary,5,TRUE,TRUE,TRUE,TRUE,TRUE
IRL,Ireland,5,TRUE,TRUE,TRUE,TRUE,TRUE
ISL,Iceland,5,TRUE,TRUE,TRUE,TRUE,TRUE
ISR,Israel,5,TRUE,TRUE,TRUE,FALSE,FALSE
ITA,Italy,5,TRUE,TRUE,TRUE,FALSE,FALSE
JPN,Japan,5,TRUE,TRUE,TRUE,FALSE,FALSE
KOR,Korea,5,TRUE,TRUE,TRUE,TRUE,TRUE
LTU,Lithuania,5,TRUE,TRUE,TRUE,TRUE,TRUE
LUX,Luxembourg,5,TRUE,TRUE,TRUE,TRUE,TRUE
LVA,Latvia,5,TRUE,TRUE,TRUE,TRUE,TRUE
MEX,Mexico,5,TRUE,TRUE,TRUE,FALSE,FALSE
NLD,Netherlands,5,TRUE,TRUE,TRUE,TRUE,TRUE
NOR,Norway,5,TRUE,TRUE,TRUE,TRUE,TRUE
NZL,New Zealand,5,TRUE,TRUE,TRUE,FALSE,FALSE
OECD_REP,OECD average country,5,TRUE,TRUE,TRUE,TRUE,TRUE
POL,Poland,5,TRUE,TRUE,TRUE,FALSE,FALSE
PRT,Portugal,5,TRUE,TRUE,TRUE,TRUE,TRUE
SVK,Slovak Republic,5,TRUE,TRUE,TRUE,TRUE,TRUE
SVN,Slovenia,5,TRUE,TRUE,TRUE,FALSE,FALSE
SWE,Sweden,5,TRUE,TRUE,TRUE,FALSE,FALSE
TUR,Türkiye,5,TRUE,TRUE,TRUE,FALSE,FALSE
USA,United States,5,TRUE,TRUE,TRUE,FALSE,FALSE
